Participant_ID,Triad_Or_Individual,School,Team,School_Team,A_B_C,Computer_Sat_At,Block,Date,Face_Video_Offset_From_900_Seconds ,Audio_Quality,Screen_Video_Offset_From_900_Seconds ,Number_Of_Screen_Shots_Offset_From_29,Shimmer_Quality,Gaze_Calibration_Quality,Face_Offset_OK,Audio_Quality_ABC,Shimmer_Quality_ABC,Gaze_Calibration_Quality_ABC,Team_Data_Check_Complete_Y/N,Notes
CPS2-ASU-T10-PA,Triad,ASU,T10,ASU-T10,PA,A,ExpBlock1,6-27-18 @ 14:30,-1,F,-1,NaN,A,C,1,0,1,1,Y,"ASU T10 PA: Can clearly hear audio from other participants, which is louder than the participant in the video, Participant often appears to be talking and is inaudible"
CPS2-ASU-T10-PA,Triad,ASU,T10,ASU-T10,PA,A,ExpBlock2,6-27-18 @ 14:30,-1,F,-1,NaN,A,C,1,0,1,1,Y,
CPS2-ASU-T10-PA,Triad,ASU,T10,ASU-T10,PA,A,Transfer,6-27-18 @ 14:30,-1,F,-1,NaN,A,C,1,0,1,1,Y,
CPS2-ASU-T10-PA,Triad,ASU,T10,ASU-T10,PA,A,WU,6-27-18 @ 14:30,-1,F,NaN,0,A,C,1,0,1,1,Y,
CPS2-ASU-T10-PB,Triad,ASU,T10,ASU-T10,PB,B,ExpBlock1,6-27-18 @ 14:30,-1,C,NaN,0,A,C,1,1,1,1,Y,"ASU T10 PB esp. Warmup, ExpBlock1, and Transfer: Can make out what other participants are saying but PB's voice is loudest; Might be an F not C rating"
CPS2-ASU-T10-PB,Triad,ASU,T10,ASU-T10,PB,B,ExpBlock2,6-27-18 @ 14:30,-1,C,-1,NaN,A,B,1,1,1,1,Y,ASU T10 PB ExpBlock and Warmup2: Can hear experimenters talking at beginning of video
CPS2-ASU-T10-PB,Triad,ASU,T10,ASU-T10,PB,B,Transfer,6-27-18 @ 14:30,-1,C,NaN,0,A,B,1,1,1,1,Y,
CPS2-ASU-T10-PB,Triad,ASU,T10,ASU-T10,PB,B,WU,6-27-18 @ 14:30,-1,C,-1,NaN,A,C,1,1,1,1,Y,
CPS2-ASU-T10-PC,Triad,ASU,T10,ASU-T10,PC,C,ExpBlock1,6-27-18 @ 14:30,-1,B,-1,NaN,A,B,1,1,1,1,Y,ASU T10 PC ExpBlock1&2: Can hear experimenters talking in beginning; Can occasionally make out what other participants are saying but PC's voice is loudest; Transfer task is pretty good
CPS2-ASU-T10-PC,Triad,ASU,T10,ASU-T10,PC,C,ExpBlock2,6-27-18 @ 14:30,-2,B,NaN,0,A,B,0,1,1,1,Y,
CPS2-ASU-T10-PC,Triad,ASU,T10,ASU-T10,PC,C,Transfer,6-27-18 @ 14:30,-2,B,-1,NaN,A,B,0,1,1,1,Y,
